id,name,position,organization,created_at
b4d0462e-80ba-46e1-8b1b-68548e876bed,Sylvia Soto Alvarado,Vicerrectora Puerto Montt,Universidad Austral de Chile,2026-04-28 00:03:28.495428+00
b5278068-9695-4c4a-b6c4-056a94ecb014,Alejandro Santana Tirachini,Gobernador Regional Los Lagos,Gobierno Regional de Los Lagos,2026-04-28 00:03:28.495428+00
b79af8d0-3918-4b87-8b8c-c15e5996f3f4,Patricia Gallardo Breuel,Consejera Regional Prov. Llanquihue,Consejo Regional de Los Lagos,2026-04-28 00:03:28.495428+00
b7a6a0ea-3730-4027-b4f9-8df5a99a23f4,Javiera Yañez Rebolledo,Alcaldesa,Municipalidad de Curaco de Velez,2026-04-28 00:03:28.495428+00
b9b39ce9-53c7-4656-9fb1-18aebc55af5f,Cristina Espinoza Ojeda,Alcaldesa,Municipalidad de Hualaihué,2026-04-28 00:03:28.495428+00
bbafbb09-ef1f-4fc8-91de-a64de211ad19,Héctor Barría Angulo,Diputado,Congreso Nacional de Chile,2026-04-28 00:03:28.495428+00
bf2bb438-476f-4649-bd75-77828c486a90,Eugenio Larraín Hernández,Rector Sede Puerto Montt,Universidad Santo Tomás,2026-04-28 00:03:28.495428+00
c62bade5-f19f-4c75-9302-250728549a45,César Negrón Barría,Consejero Regional Prov. Llanquihue,Consejo Regional de Los Lagos,2026-04-28 00:03:28.495428+00
c787b4c0-e6a2-48ff-ad7d-c793d809456f,Anita Dörner Paris,Vicerrectora Campus Puerto Montt,Universidad de Los Lagos,2026-04-28 00:03:28.495428+00
c7db3f04-e9b7-407d-b4f8-30008cf99144,Evelyn Chávez Chávez,Concejala Puerto Montt,Municipalidad de Puerto  Montt,2026-04-28 00:03:28.495428+00
caee9fa7-b030-4f28-bd65-9d369d72dd91,Alex Nahuelquin Nahuelquin,Diputado,Congreso Nacional de Chile,2026-04-28 00:03:28.495428+00
cc034a4b-071e-4c1b-bed3-d90e1b9d3cee,Egon Montecinos,Rector,Universidad Austral de Chile,2026-04-28 00:03:28.495428+00
cd0a03a1-7cf5-47a2-bcb7-1142effab803,Marco Silva Maldonado,Alcalde,Municipalidad de Calbuco,2026-04-28 00:03:28.495428+00
dc722a63-9034-40f6-86b1-f23c6265196a,Marión Fernández Loncon,Consejera Regional Prov. Llanquihue,Consejo Regional de Los Lagos,2026-04-28 00:03:28.495428+00
dd18e901-f91c-4df8-95c5-3e3ac65f561d,Rodrigo Wainraihgt Galilea,Alcalde,Municipalidad de Puerto Montt,2026-04-28 00:03:28.495428+00
de2b3455-8620-4852-a0ec-828e8fee7875,José Luis Muñoz Uribe,Alcalde,Municipalidad de San Juan de la Costa,2026-04-28 00:03:28.495428+00
de811af4-afa4-450b-bf57-950df6f102c9,Nicolás Yunge Jürgensen,Seremi de Bienes Nacionales,Seremi de Bienes Nacionales,2026-04-28 00:03:28.495428+00
e4d94716-698c-4d8e-9598-83eb31f87646,Francisco Muñoz Le Bretón,Seremi de Seguridad Pública,Seremi de Seguridad Pública,2026-04-28 00:03:28.495428+00
e8aec835-f239-43cc-b4e2-98143160d0da,Nelson Águila Serpa,Consejero Regional Prov. Chiloé,Consejo Regional de Los Lagos,2026-04-28 00:03:28.495428+00
ea76cae3-38ff-4bce-a16e-7c8db95ed0d6,Andrés Ojeda Care,Alcalde,Municipalidad de Ancud,2026-04-28 00:03:28.495428+00
eb16a06a-c677-4e2c-98cc-2a5c165a8731,Emilio González Burgos,Alcalde,Municipalidad de Los Muermos,2026-04-28 00:03:28.495428+00
ecea442c-c893-4fcf-8fa8-816bfe891144,Félix Vargas Cotiart,Consejero Regional Prov. Palena,Consejo Regional de Los Lagos,2026-04-28 00:03:28.495428+00
eeee171b-0c7e-4d1e-930d-d8f741fe5cfa,Augusto Eguiluz Loyola,Consejero Regional Prov. Osorno,Consejo Regional de Los Lagos,2026-04-28 00:03:28.495428+00
f2e257d5-1867-4700-8158-b23010b92f4e,José Plaza,Ejecutivo Fomento e Industria,DIFOI GORE Los Lagos,2026-04-28 00:03:28.495428+00
f3c323e9-6b45-4658-b9e8-fcd8874e1b17,Jorge Moreno Oyanadel,Seremi de Trabajo y Prev. Social,Seremi de Trabajo y Previción Social,2026-04-28 00:03:28.495428+00
f42bd3d3-8311-491d-9432-a646d7a5a2b9,Fidel Espinoza Sandoval,Senador,Congreso Nacional de Chile,2026-04-28 00:03:28.495428+00
f827ef1f-d3b2-49d4-8b14-9e6c194cc020,Tomás Gárate Silva,Alcalde,Municipalidad de Puerto Varas,2026-04-28 00:03:28.495428+00
f9fa9be7-141b-4049-84b3-dfc1d20823e4,Julio Delgado Retamal,Alcalde,Municipalidad de Palena,2026-04-28 00:03:28.495428+00
fac73d88-17c3-4341-999f-ebfcc2be5732,Jose Alberto Segura Diaz,Concejal Puerto Montt,Municipalidad de Puerto Montt,2026-04-28 00:03:28.495428+00
fe64af74-d113-41e5-810a-647671ac3bce,Clara Lazcano Fernández,Alcaldesa,Municipalidad de Chaitén,2026-04-28 00:03:28.495428+00
